"artistID","dob","placeOfBirth"
"03b83abc-198d-4888-bc6f-92796c1b15cf","11 Jun 1997","Florida"
"227556f9-8570-40db-91af-b7a69fde59f8","2 Dec 1981","Mississippi"
"d1db2668-0c2f-487d-bc92-96b60d34a69c","10 Oct 1971","California"
"78420251-27f4-4019-82bb-1704df2d0a56","8 Jan 1947","London"
"adbd4ade-8182-4a3e-b063-7375c6cf4bb7","17 Feb 1991","Halifax"
"cf443db9-3bdc-41d9-9364-f35a2ae60aaf","21 Feb 1933","North Carolina"
"a8c16a89-d6d7-4bff-b4d2-441771cee5c1","12 Dec 1915","New Jersey"
"55896d75-b51c-48ad-acb4-2193b297dac4","1 Mar 1994","Canada"
"d75be419-8453-43b9-ae44-7dd734554e79","16 Aug 1958","Michigan"
"8464c73d-f7dc-4aab-973d-0e9c1b3641ce","22 Jul 1992","Texas"
"613ab333-b76f-4c8e-a97a-c21c95b8f821","9 Aug 1963","New Jersey"
